# Time-averaged data for fix savemsd
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4]
0 0.000962692 0.000973819 0.00122691 0.00316342
1000 1.16702 1.49327 1.39534 4.05563
2000 1.43963 2.47738 2.75399 6.67101
3000 2.2389 3.68298 2.43523 8.35711
4000 2.2365 4.10661 2.49135 8.83446
5000 2.04252 4.52591 2.30882 8.87725
6000 3.15272 6.14852 2.15037 11.4516
7000 2.72583 5.24866 2.51469 10.4892
8000 2.91371 5.79088 3.07557 11.7802
9000 3.02823 6.48499 2.63419 12.1474
10000 2.84744 6.91887 2.99767 12.764
11000 3.02657 7.3159 2.52296 12.8654
12000 3.24376 7.64619 2.50241 13.3924
13000 3.12586 8.48397 2.66606 14.2759
14000 3.21757 10.2355 3.15518 16.6082
15000 4.14261 11.1431 4.00633 19.292
16000 5.26739 11.1429 4.80405 21.2144
17000 6.04292 11.3513 4.83494 22.2292
18000 6.68433 12.166 5.12519 23.9756
19000 7.61203 13.7854 6.03581 27.4332
20000 8.54169 13.9578 7.19473 29.6943
21000 10.3838 14.2167 6.73564 31.3361
22000 12.2041 14.8904 6.9995 34.094
23000 14.1766 15.3258 7.02152 36.5239
24000 14.8681 17.2191 7.09588 39.1831
25000 17.0541 15.4095 7.56211 40.0257
26000 18.7006 17.3405 6.9198 42.9609
27000 18.4039 17.2078 6.99774 42.6094
28000 20.5704 17.9928 7.43713 46.0003
29000 21.8095 18.4816 6.78108 47.0722
30000 24.0245 19.4092 5.97263 49.4064
31000 26.6169 18.9858 5.99528 51.598
32000 28.4413 19.181 6.95254 54.5748
33000 29.1974 20.5152 6.85425 56.5668
34000 27.9349 22.2571 6.96749 57.1595
35000 34.5171 21.5728 5.95148 62.0414
36000 33.2156 23.2921 7.00049 63.5082
37000 37.2929 23.3011 7.42176 68.0157
38000 39.2078 24.3367 6.81671 70.3612
39000 38.2122 25.0295 6.71195 69.9537
40000 43.406 26.6884 7.28275 77.3771
41000 40.9638 29.079 7.16281 77.2056
42000 42.7049 29.7269 7.01401 79.4458
43000 42.8759 31.1747 6.85765 80.9082
44000 41.7297 31.6744 7.76533 81.1694
45000 45.0525 32.9649 7.41139 85.4288
46000 45.9392 34.9319 7.2423 88.1135
47000 44.3281 35.1318 6.4631 85.923
48000 43.9464 38.2405 7.29822 89.4851
49000 43.0022 36.6146 6.92158 86.5383
50000 43.8994 35.4804 7.15848 86.5383
51000 45.3968 37.7478 7.39897 90.5436
52000 44.0646 38.9094 7.31452 90.2885
53000 43.9381 38.6075 8.08477 90.6304
54000 45.1545 41.5156 8.53993 95.2101
55000 41.9073 42.9621 9.03572 93.9051
56000 38.6898 41.5869 9.81581 90.0925
57000 40.5673 42.3631 9.86016 92.7906
58000 39.2074 42.9807 10.2558 92.4439
59000 39.5579 44.9276 10.4843 94.9698
60000 38.7026 44.2323 10.9368 93.8717
61000 35.399 47.2927 11.6316 94.3232
62000 37.0917 47.1899 10.7238 95.0055
63000 36.6977 46.6729 11.1954 94.566
64000 33.3588 48.7502 11.4907 93.5997
65000 35.3945 44.3899 11.9437 91.7281
66000 33.9594 46.6813 11.8219 92.4627
67000 34.5371 43.7088 12.2662 90.5121
68000 34.1456 42.3675 12.1883 88.7014
69000 32.9003 45.5468 13.14 91.5872
70000 31.4991 45.3983 13.5927 90.4902
71000 32.3958 44.9086 13.9793 91.2837
72000 32.8176 45.3463 16.5572 94.7211
73000 33.0167 43.0344 16.5945 92.6456
74000 31.2963 45.5387 16.806 93.641
75000 31.7035 44.4468 17.3582 93.5085
76000 31.9297 44.6182 18.8742 95.4222
77000 32.0489 42.936 18.0802 93.0651
78000 30.7869 44.4763 17.4372 92.7004
79000 30.7411 41.2916 19.4625 91.4952
