   Step          Temp          PotEng         TotEng         Press          Volume    
         0   300           -737.17151     -623.60265      1385.3033      7709.3325    
      2000   283.58572     -767.52528     -660.17025      48.004663      7709.3325    
      4000   379.58886     -762.13909     -618.44084      14.544178      7709.3325    
      6000   269.2238      -766.2645      -664.34637     -523.22697      7709.3325    
      8000   332.58192     -782.63435     -656.73118     -328.60067      7709.3325    
     10000   328.79499     -787.04285     -662.57328     -671.31735      7709.3325    
     12000   285.81424     -776.27883     -668.08017      269.83331      7709.3325    
     14000   316.429       -786.12342     -666.33515      78.12695       7709.3325    
     16000   278.46        -784.10215     -678.68753     -223.64794      7709.3325    
     18000   306.44306     -773.1311      -657.12314      361.0073       7709.3325    
     20000   316.29207     -805.90729     -686.17085      27.003727      7709.3325    
     22000   298.95042     -783.01775     -669.84622     -626.95538      7709.3325    
     24000   287.80981     -785.39638     -676.44227     -160.83368      7709.3325    
     26000   268.73199     -796.85587     -695.12391      39.822358      7709.3325    
     28000   290.91216     -788.26264     -678.1341       308.7807       7709.3325    
     30000   268.93863     -776.98457     -675.17439     -402.75254      7709.3325    
     32000   294.41191     -781.16643     -669.71301      466.08635      7709.3325    
     34000   267.32903     -792.7564      -691.55556      132.11512      7709.3325    
     36000   325.30514     -786.08586     -662.93741      362.50488      7709.3325    
     38000   338.43549     -794.30728     -666.18816      336.84613      7709.3325    
     40000   310.86486     -785.5304      -667.84851     -640.03395      7709.3325    
     42000   284.32152     -800.58393     -692.95036      218.99541      7709.3325    
     44000   277.22297     -792.57238     -687.62605     -22.912289      7709.3325    
     46000   332.21488     -767.81123     -642.04701     -917.03925      7709.3325    
     48000   321.50019     -773.74821     -652.04017     -187.3437       7709.3325    
     50000   283.10434     -790.44141     -683.26861      559.36749      7709.3325    
     52000   307.53794     -786.016       -669.59355     -302.40523      7709.3325    
     54000   261.90458     -763.76024     -664.61289     -135.04694      7709.3325    
     56000   247.92001     -779.7676      -685.91429      127.72706      7709.3325    
     58000   325.80185     -780.34794     -657.01146     -324.20363      7709.3325    
     60000   324.75089     -768.3807      -645.44207     -598.42318      7709.3325    
     62000   313.56068     -767.55795     -648.85552     -353.53735      7709.3325    
     64000   319.33658     -787.18209     -666.29311      227.71434      7709.3325    
     66000   308.72561     -769.85359     -652.98154      240.95135      7709.3325    
     68000   333.02672     -751.24041     -625.16886     -815.22423      7709.3325    
     70000   276.78934     -766.39811     -661.61594      280.4046       7709.3325    
     72000   295.60714     -758.25296     -646.34707     -539.90962      7709.3325    
