#	Time-averaged	data	for	fix	savemsd
#	TimeStep	c_msd[1]	c_msd[2]	c_msd[3]	c_msd[4]
0	0.000962692	0.000973819	0.00122691	0.00316342
1000	1.59197	2.00444	1.75625	5.35266
2000	3.02086	3.39585	2.33007	8.74678
3000	4.4941	3.53718	3.18337	11.2147
4000	4.83439	4.29859	4.38742	13.5204
5000	6.18659	4.89619	4.16475	15.2475
6000	6.42554	5.40551	4.97926	16.8103
7000	7.82297	6.37841	4.86961	19.071
8000	9.31792	6.703	6.34752	22.3684
9000	9.18198	7.88832	6.77048	23.8408
10000	8.77803	8.72766	7.85274	25.3584
11000	10.1666	7.98371	7.53118	25.6815
12000	9.18723	9.96095	8.17842	27.3266
13000	9.90922	10.1458	9.12483	29.1798
14000	11.4583	10.2506	11.0917	32.8005
15000	11.9218	11.4856	10.9064	34.3138
16000	12.2372	12.7685	11.8507	36.8565
17000	12.6399	12.4139	14.8845	39.9383
18000	14.4486	12.1669	12.5033	39.1187
19000	14.805	13.9714	13.5315	42.3079
20000	15.4749	13.5825	14.8231	43.8805
21000	17.7813	14.292	14.25	46.3233
22000	18.4382	13.2814	16.938	48.6575
23000	19.2172	15.0514	17.8696	52.1383
24000	18.2034	19.2155	20.0927	57.5116
25000	20.32	20.625	20.0844	61.0294
26000	17.1957	22.464	20.1596	59.8193
27000	21.0651	23.9292	21.1902	66.1845
28000	19.4722	22.5264	23.0146	65.0132
29000	15.9064	24.2154	25.1987	65.3205
30000	14.1977	23.6859	24.6151	62.4987
31000	13.798	24.3153	25.2318	63.3451
32000	14.8256	24.3881	25.818	65.0317
33000	14.538	24.4504	27.568	66.5564
34000	14.159	23.3427	28.2821	65.7838
35000	13.9801	25.1739	30.6454	69.7994
36000	13.8103	23.9527	29.2727	67.0357
37000	14.4867	24.2273	27.8823	66.5963
38000	14.1689	27.0119	29.6344	70.8152
39000	14.8336	26.5628	27.5079	68.9042
40000	15.0115	29.9633	28.5801	73.5548
41000	13.5538	33.9436	31.4654	78.9628
42000	15.6087	29.1129	35.704	80.4256
43000	14.8327	30.0333	34.1236	78.9895
44000	14.137	30.276	37.148	81.5609
45000	15.0422	29.9534	38.9823	83.9779
46000	15.0215	32.3551	36.602	83.9786
47000	16.1222	29.9617	36.157	82.2409
48000	16.7982	28.9623	37.6578	83.4182
49000	18.9333	27.6799	37.1965	83.8097
50000	20.1564	26.1435	39.3507	85.6506
51000	22.1671	24.388	37.6562	84.2113
52000	22.8484	28.0716	38.5838	89.5037
53000	23.8975	27.768	39.8095	91.475
54000	21.6473	28.2608	41.108	91.0161
55000	18.8202	29.1438	44.6156	92.5796
56000	19.9244	28.4109	47.0701	95.4053
57000	20.7289	26.0596	49.8373	96.6258
58000	20.0834	26.9205	46.8621	93.866
59000	22.443	28.5238	44.5876	95.5543
60000	22.8108	29.9559	44.4265	97.1932
61000	24.5787	29.2166	42.1343	95.9296
62000	24.4374	30.7403	41.8534	97.0312
63000	23.5755	29.231	42.541	95.3475
64000	26.9438	26.3613	42.7238	96.029
65000	25.5513	27.1373	48.8166	101.505
66000	26.7006	26.4361	48.542	101.679
67000	28.4789	26.4927	47.4183	102.39
