# Time-averaged data for fix 2
# TimeStep c_myMSD[4]
10 0.00296861
20 0.0175554
30 0.039152
40 0.0584006
50 0.0699528
60 0.0749557
70 0.077077
80 0.0784178
90 0.078986
100 0.0780955
110 0.0756136
120 0.0723055
130 0.0693784
140 0.0677904
150 0.0677304
160 0.0685394
170 0.0692132
180 0.0690739
190 0.0681312
200 0.0669451
210 0.0661635
220 0.0661576
230 0.0668809
240 0.0679179
250 0.0687362
260 0.0691104
270 0.0693159
280 0.069746
290 0.0704042
300 0.0709209
310 0.070967
320 0.0704277
330 0.0692446
340 0.0673805
350 0.0650726
360 0.0628832
370 0.0613217
380 0.0604985
390 0.0601518
400 0.0599217
410 0.0596049
420 0.0592865
430 0.0593161
440 0.0600419
450 0.0614488
460 0.0631918
470 0.0650036
480 0.0669175
490 0.0690547
500 0.0712449
510 0.0729811
520 0.0738015
530 0.0736266
540 0.072747
550 0.0716717
560 0.0708928
570 0.070615
580 0.0707664
590 0.0712184
600 0.0719067
610 0.0728417
620 0.0740481
630 0.0753767
640 0.0764735
650 0.0770491
660 0.077118
670 0.0769844
680 0.0769294
690 0.0768874
700 0.0765023
710 0.0754677
720 0.0737837
730 0.0717531
740 0.0697602
750 0.0680061
760 0.0663948
770 0.064669
780 0.0627531
790 0.0609123
800 0.0594573
810 0.0584356
820 0.0577088
830 0.0571868
840 0.0568997
850 0.0569393
860 0.0574395
870 0.0586092
880 0.0606027
890 0.0632389
900 0.0659191
910 0.0679079
920 0.0687168
930 0.0683933
940 0.0674471
950 0.0663936
960 0.0655293
970 0.0650701
980 0.0651376
990 0.065633
1000 0.0662723
1010 0.0667184
1020 0.0667876
1030 0.0666384
1040 0.0666129
1050 0.0668447
1060 0.0671565
1070 0.0673138
1080 0.0672607
1090 0.0670506
1100 0.0667118
1110 0.0663398
1120 0.0661173
1130 0.0661373
1140 0.0663041
1150 0.0663378
1160 0.0659411
1170 0.0650846
1180 0.0640073
1190 0.0628762
1200 0.0616067
1210 0.0601912
1220 0.0590127
1230 0.0585897
1240 0.0591157
1250 0.0603215
1260 0.0617158
1270 0.0628913
1280 0.063644
1290 0.0639328
1300 0.0639229
1310 0.0640264
1320 0.0646899
1330 0.0659871
1340 0.0673863
1350 0.0681173
1360 0.0679008
1370 0.0672302
1380 0.0669665
1390 0.0676629
1400 0.069116
1410 0.0705825
1420 0.0715458
1430 0.0721167
1440 0.0726603
1450 0.0732282
1460 0.073406
1470 0.0727487
1480 0.0712139
1490 0.0691851
1500 0.0673119
1510 0.0661878
1520 0.0660139
1530 0.0665043
1540 0.0670947
1550 0.0673744
1560 0.0672782
1570 0.0669072
1580 0.0663645
1590 0.0656745
1600 0.0647689
1610 0.0636297
1620 0.0624564
1630 0.0615662
1640 0.061147
1650 0.0611798
1660 0.0615075
1670 0.0620754
1680 0.0631623
1690 0.0650774
1700 0.0676049
1710 0.0699875
1720 0.071469
1730 0.0718181
1740 0.0713801
1750 0.0707082
1760 0.0702058
1770 0.0700496
1780 0.070277
1790 0.0707842
1800 0.0713083
1810 0.071574
1820 0.0714491
1830 0.0709261
1840 0.0699975
1850 0.0686611
1860 0.0671056
1870 0.0657451
1880 0.0649855
1890 0.0649684
1900 0.0655322
1910 0.0663732
1920 0.0671474
1930 0.0675477
1940 0.0674732
1950 0.0671091
1960 0.0667196
1970 0.0663873
1980 0.0660361
1990 0.0656401
2000 0.0653092
2010 0.0651526
2020 0.0650998
2030 0.0649348
2040 0.0644973
2050 0.063779
2060 0.0628718
2070 0.0618986
2080 0.0610215
2090 0.0604949
2100 0.0605944
2110 0.0614067
2120 0.0627085
2130 0.0641322
2140 0.0655032
2150 0.0669517
2160 0.0685639
2170 0.0701133
2180 0.0713086
2190 0.0720826
2200 0.0724968
2210 0.0724931
2220 0.0719041
2230 0.0707759
2240 0.0695434
2250 0.0686797
2260 0.0682502
2270 0.068006
2280 0.0677226
2290 0.067231
2300 0.0664051
2310 0.0653219
2320 0.06433
2330 0.0638536
2340 0.0640706
2350 0.0647039
2360 0.0651655
2370 0.0649805
2380 0.0640908
2390 0.0627911
2400 0.0615
2410 0.0606204
2420 0.0604149
2430 0.0608841
2440 0.0618296
2450 0.0630525
2460 0.0644612
2470 0.0659048
2480 0.0670167
2490 0.0674715
2500 0.0673255
2510 0.0669247
2520 0.0666013
2530 0.0665612
2540 0.0668963
2550 0.0675351
2560 0.0682649
2570 0.0688303
2580 0.069073
2590 0.0691005
2600 0.0691593
2610 0.0693419
2620 0.0695407
2630 0.0696682
2640 0.0698854
2650 0.0704086
2660 0.0710493
2670 0.0712885
2680 0.0709009
2690 0.0702087
2700 0.0696013
2710 0.0691344
2720 0.0687332
2730 0.0685008
2740 0.0685674
2750 0.0686941
2760 0.0682877
2770 0.0670263
2780 0.0653718
2790 0.0641596
2800 0.0637041
2810 0.0635184
2820 0.0629323
2830 0.0618098
2840 0.0605275
2850 0.0594361
2860 0.058606
2870 0.0579941
2880 0.0575956
2890 0.057513
2900 0.0579652
2910 0.0590264
2920 0.0604359
2930 0.0618498
2940 0.063163
2950 0.064447
2960 0.065718
2970 0.0668633
2980 0.0677973
2990 0.0686037
3000 0.0694307
3010 0.0703016
3020 0.0710575
3030 0.0714303
3040 0.0712384
3050 0.0705899
3060 0.0697946
3070 0.0689931
3080 0.0680144
3090 0.0667087
3100 0.065242
3110 0.0639683
3120 0.0631106
3130 0.0625766
3140 0.0620643
3150 0.0613276
3160 0.0603971
3170 0.0596132
3180 0.0593373
3190 0.0596175
3200 0.0601388
3210 0.0604002
3220 0.0600585
3230 0.0593326
3240 0.0588991
3250 0.059205
3260 0.0600493
3270 0.0608851
3280 0.0613908
3290 0.0616524
3300 0.061865
3310 0.0620789
3320 0.0622081
3330 0.062051
3340 0.0615005
3350 0.0608657
3360 0.0607471
3370 0.061618
3380 0.0634832
3390 0.065784
3400 0.0677326
3410 0.0688373
3420 0.0690589
3430 0.068627
3440 0.0678991
3450 0.0672045
3460 0.0666593
3470 0.0661798
3480 0.0656965
3490 0.0653186
3500 0.0651996
