   Step          Temp          E_pair         E_mol          TotEng         Press          Volume    
         0   0             -3198.1403      0             -3198.1403      438779.55      8000         
      3000   30.994637     -3361.3841      0             -3357.9266      16934.696      9948.9218    
      6000   541.83485     -3403.519       0             -3343.0765      6719.8553      9940.1074    
      9000   227.46684     -3370.4213      0             -3345.047       9257.425       10093.724    
     12000   554.91613     -3385.2806      0             -3323.3789      6427.8148      10006.684    
     15000   463.06104     -3371.9452      0             -3320.29       -1275.291       10084.98     
     18000   509.32568     -3365.4121      0             -3308.596       1296.9833      10118.999    
     21000   596.45756     -3364.2534      0             -3297.7177     -3137.2001      10150.485    
     24000   626.60308     -3354.9961      0             -3285.0976      2212.4476      10154.734    
     27000   634.85481     -3351.7772      0             -3280.9582      3736.4373      10164.608    
     30000   711.48572     -3347.4236      0             -3268.0563      839.87812      10204.428    
     33000   757.26542     -3344.5725      0             -3260.0984      2027.8875      10204.951    
     36000   813.62451     -3339.0726      0             -3248.3116     -828.94398      10252.499    
     39000   815.33915     -3332.0852      0             -3241.1329     -3368.3621      10290.007    
     42000   852.94317     -3324.2623      0             -3229.1152     -776.70608      10303.304    
     45000   884.41998     -3317.8122      0             -3219.1538      4336.6891      10296.743    
     48000   935.29589     -3314.2178      0             -3209.8842     -6704.017       10392.916    
     51000   962.39815     -3310.6857      0             -3203.3288      4289.5406      10334.053    
     54000   966.7735      -3303.1804      0             -3195.3354      7472.3119      10336.78     
     57000   1071.5556     -3297.9795      0             -3178.4459     -1341.4439      10424.765    
     60000   1087.6288     -3290.1049      0             -3168.7782      168.24653      10455.805    
     63000   1222.6747     -3283.3839      0             -3146.9927     -3214.7242      10525.571    
     66000   1203.6293     -3279.3153      0             -3145.0486      4912.9711      10482.274    
     69000   1184.0354     -3270.1554      0             -3138.0745      332.87783      10545.209    
     72000   1283.9836     -3263.1415      0             -3119.9112     -4268.82        10617.341    
     75000   1269.4634     -3262.6053      0             -3120.9948      3086.3574      10555.056    
     78000   1315.1856     -3252.5017      0             -3105.7907     -2086.6511      10637.293    
     81000   1487.7859     -3247.1909      0             -3081.2261      8676.6504      10596.936    
     84000   1450.6289     -3248.759       0             -3086.9391      2881.3666      10633.846    
     87000   1464.056      -3236.5002      0             -3073.1825      10048.576      10622.694    
     90000   1480.291      -3228.0107      0             -3062.882      -4397.3829      10783.293    
     93000   1525.6381     -3216.5829      0             -3046.3956      1542.5231      10779.95     
     96000   1505.9264     -3190.9619      0             -3022.9735      788.47385      10901.317    
     99000   1564.4483     -3194.7158      0             -3020.1992     -2835.9964      10917.566    
    102000   1664.4662     -3202.8254      0             -3017.1516     -2518.9233      10880.936    
    105000   1637.3085     -3170.3288      0             -2987.6846     -5244.585       11059.458    
    108000   1714.3189     -3141.1855      0             -2949.9506     -3086.7729      11187.626    
    111000   1812.2465     -3062.3243      0             -2860.1655     -5838.0532      11599.444    
    114000   1743.8699     -3067.2311      0             -2872.6998      3310.1776      11506.054    
    117000   1906.1308     -3052.5515      0             -2839.9197     -3100.2937      11610.271    
    120000   1999.532      -3047.0208      0             -2823.97        85.548628      11620.884    
    123000   1934.6884     -3037.9943      0             -2822.1769     -3969.4159      11702.497    
    126000   2004.1407     -3035.8302      0             -2812.2653     -6285.9137      11729.253    
    129000   1980.8053     -3037.4164      0             -2816.4546     -1942.1813      11678.571    
    132000   2029.6188     -3009.7338      0             -2783.3268      1806.1042      11759.179    
    135000   2127.432      -2993.4427      0             -2756.1244      5532.5286      11815.347    
    138000   2114.3441     -3010.3344      0             -2774.4761      989.00148      11771.081    
    141000   2066.5736     -2999.0886      0             -2768.5592      1337.5607      11809.394    
    144000   2322          -2991.8839      0             -2732.8613      2287.2182      11858.362    
    147000   2263.0258     -2977.3569      0             -2724.913      -1483.5508      11974.646    
    150000   2352.1772     -2991.6052      0             -2729.2163      9675.9343      11800.264    
    153000   2395.6734     -2964.8829      0             -2697.642      -6901.9173      12071.126    
    156000   2453.3777     -2985.6379      0             -2711.9599      8487.7361      11834.433    
    159000   2374.4907     -2945.8081      0             -2680.9301      4407.8106      12053.862    
    162000   2571.8575     -2950.4713      0             -2663.5767      2437.9756      12071.873    
    165000   2539.419      -2934.3765      0             -2651.1005     -6615.2258      12204.517    
    168000   2509.6193     -2932.8492      0             -2652.8974     -7653.5164      12241.194    
    171000   2629.5858     -2924.335       0             -2631.0008      2489.4202      12183.171    
    174000   2792.8842     -2926.3878      0             -2614.8374     -9457.5689      12314.911    
    177000   2761.6971     -2914.6227      0             -2606.5512      1438.5393      12254.812    
    180000   2707.4295     -2920.2007      0             -2618.1828     -1111.6811      12234.414    
    183000   2741.949      -2923.5644      0             -2617.6959      4743.9837      12164.921    
    186000   2868.1927     -2935.097       0             -2615.1458      1523.2652      12178.978    
    189000   2874.1735     -2894.5249      0             -2573.9065     -6.8539535      12358.826    
    192000   2882.8941     -2911.692       0             -2590.1008     -1569.9635      12300.358    
    195000   2941.7885     -2906.0526      0             -2577.8916      7205.1846      12248.778    
    198000   2836.7008     -2886.0631      0             -2569.6248     -67.383006      12395.201    
    200000   2911.1479     -2893.2328      0             -2568.4899     -3285.3826      12419.207    
