   Step          Temp          Press          Volume         PotEng         KinEng         TotEng        Enthalpy   
         0   2911.1479     -3285.3826      12419.207     -2893.2328      324.74293     -2568.4899     -2593.9564    
      1000   3069.7456     -3402.6454      12419.207     -2892.4122      342.43475     -2549.9774     -2576.3529    
      2000   3036.1945      2383.8274      12419.207     -2883.1934      338.69206     -2544.5014     -2526.0232    
      3000   3032.5815      1288.354       12419.207     -2881.2983      338.28903     -2543.0093     -2533.0227    
      4000   3048.8783     -689.99046      12419.207     -2885.5242      340.10696     -2545.4173     -2550.7657    
      5000   3100.3724     -1507.3841      12419.207     -2888.6884      345.85121     -2542.8372     -2554.5216    
      6000   3080.5313     -5124.6962      12419.207     -2898.0757      343.6379      -2554.4378     -2594.1617    
      7000   3023.6445     -1841.8896      12419.207     -2886.5327      337.29209     -2549.2406     -2563.5179    
      8000   3057.5358     -5758.9035      12419.207     -2903.6258      341.07272     -2562.5531     -2607.193     
      9000   3096.4074     -5889.6704      12419.207     -2898.8198      345.40891     -2553.4109     -2599.0644    
     10000   2964.6694     -3638.7339      12419.207     -2887.3253      330.71334     -2556.612      -2584.8175    
     11000   2900.4017     -1830.1507      12419.207     -2883.9409      323.54417     -2560.3967     -2574.5831    
     12000   2935.9708     -2295.6155      12419.207     -2885.3041      327.51196     -2557.7921     -2575.5865    
     13000   2966.879      -4529.1779      12419.207     -2893.4927      330.95982     -2562.5329     -2597.6406    
     14000   2961.0055     -3583.1394      12419.207     -2893.6578      330.30462     -2563.3532     -2591.1278    
     15000   2975.8846     -12160.003      12419.207     -2910.2955      331.9644      -2578.3311     -2672.5888    
     16000   2928.3607      3230.1488      12419.207     -2879.0603      326.66304     -2552.3973     -2527.3589    
     17000   2988.3961      2094.8546      12419.207     -2880.3396      333.36008     -2546.9795     -2530.7414    
     18000   3095.1912      7166.5644      12419.207     -2871.8627      345.27323     -2526.5894     -2471.0381    
     19000   2987.8706     -5847.4651      12419.207     -2893.1356      333.30146     -2559.8341     -2605.1605    
     20000   3026.0009      994.03956      12419.207     -2887.4906      337.55495     -2549.9357     -2542.2304    
     21000   3150.2062      1743.7783      12419.207     -2890.6603      351.41024     -2539.25       -2525.7332    
     22000   3011.8974      1021.1665      12419.207     -2878.8987      335.98169     -2542.917      -2535.0014    
     23000   3061.3465     -1790.2949      12419.207     -2889.7375      341.49781     -2548.2397     -2562.1171    
     24000   2887.1385      6001.663       12419.207     -2875.4882      322.06464     -2553.4235     -2506.9019    
     25000   2996.1701     -184.81793      12419.207     -2883.4295      334.22729     -2549.2022     -2550.6349    
     26000   2891.0608     -3758.5452      12419.207     -2889.5541      322.50219     -2567.052      -2596.1862    
     27000   2858.5529      24.22609       12419.207     -2882.3403      318.87588     -2563.4644     -2563.2767    
     28000   2997.6415     -2856.8926      12419.207     -2891.4407      334.39142     -2557.0493     -2579.1944    
     29000   2964.1172     -3110.2618      12419.207     -2893.5728      330.65173     -2562.921      -2587.0301    
     30000   3012.376      -5552.0545      12419.207     -2895.5572      336.03508     -2559.5221     -2602.5586    
     31000   2881.124       1516.6396      12419.207     -2879.7049      321.39372     -2558.3112     -2546.5551    
     32000   2964.7612     -4241.5114      12419.207     -2896.0688      330.72358     -2565.3452     -2598.2231    
     33000   3041.8845      2620.8109      12419.207     -2881.7418      339.32679     -2542.415      -2522.0999    
     34000   2949.7408     -4398.4318      12419.207     -2887.7363      329.04802     -2558.6883     -2592.7826    
     35000   2895.0953     -6125.7323      12419.207     -2892.139       322.95224     -2569.1868     -2616.6701    
     36000   3045.9323      761.22934      12419.207     -2881.1766      339.77833     -2541.3982     -2535.4976    
     37000   2872.6923     -14048.508      12419.207     -2909.073       320.45315     -2588.6198     -2697.5163    
     38000   3084.0904      3437.6439      12419.207     -2881.806       344.03493     -2537.7711     -2511.1243    
     39000   3058.6941      3507.4382      12419.207     -2880.6738      341.20193     -2539.4718     -2512.2841    
     40000   2935.8676     -1654.2089      12419.207     -2889.0335      327.50045     -2561.533      -2574.3556    
     41000   3076.5959     -4616.7591      12419.207     -2893.2671      343.19891     -2550.0682     -2585.8548    
     42000   2803.5934     -3893.9944      12419.207     -2883.1538      312.74506     -2570.4088     -2600.5929    
     43000   3000.584      -7203.5096      12419.207     -2901.0784      334.71966     -2566.3588     -2622.1965    
     44000   2892.3912      7270.0001      12419.207     -2865.4016      322.65059     -2542.751      -2486.3979    
     45000   3080.6229      5813.3274      12419.207     -2872.8723      343.64813     -2529.2241     -2484.1624    
     46000   2970.1437      535.33064      12419.207     -2884.8472      331.324       -2553.5232     -2549.3736    
     47000   2997.7939      3378.7004      12419.207     -2876.89        334.40842     -2542.4816     -2516.2918    
     48000   2959.1161      3680.4634      12419.207     -2876.4412      330.09386     -2546.3473     -2517.8184    
     49000   2938.9872     -621.70479      12419.207     -2885.6402      327.84844     -2557.7918     -2562.6109    
     50000   3015.6594     -1333.7559      12419.207     -2889.1076      336.40135     -2552.7062     -2563.0448    
     51000   3001.3551     -4357.711       12419.207     -2887.9598      334.80568     -2553.1541     -2586.9327    
     52000   3011.0653     -371.8654       12419.207     -2884.5579      335.88887     -2548.6691     -2551.5516    
     53000   3018.0473     -848.72041      12419.207     -2890.2418      336.66772     -2553.5741     -2560.1529    
     54000   2949.0569     -6708.7372      12419.207     -2896.6277      328.97173     -2567.656      -2619.6585    
