   Step          Temp          E_pair         E_mol          TotEng         Press     
         0   2893.4769     -2890.724       0             -2567.9523     -9113.3908    
      3000   2918.3984     -2870.9678      0             -2545.4161     -2051.8887    
      6000   2963.027      -2882.9183      0             -2552.3882     -7253.5608    
      9000   2963.0825     -2884.5254      0             -2553.9891     -7906.9959    
     12000   3057.7097     -2870.4777      0             -2529.3856     -354.0845     
     15000   2974.7538     -2872.8384      0             -2541.0002      532.36768    
     18000   2981.7848     -2881.5751      0             -2548.9525     -3769.7917    
     21000   3010.2574     -2888.7808      0             -2552.9821     -7619.465     
     24000   2992.1299     -2876.0589      0             -2542.2823     -3881.101     
     27000   2985.9892     -2862.0302      0             -2528.9386      2247.8981    
     30000   3100.0575     -2896.3655      0             -2550.5494     -9127.5945    
     33000   2965.8727     -2883.4337      0             -2552.5861     -5754.1429    
     36000   3039.4358     -2876.9044      0             -2537.8508     -3615.4549    
     39000   2948.7901     -2885.2095      0             -2556.2676     -7288.3812    
     42000   2862.7601     -2877.1293      0             -2557.7841     -5020.1361    
     45000   2953.0948     -2884.0301      0             -2554.6079     -9397.5135    
     48000   3006.1448     -2893.4567      0             -2558.1167     -9214.3129    
     51000   3105.5991     -2882.0092      0             -2535.5749     -4408.7742    
     54000   3004.6752     -2880.9528      0             -2545.7768     -4736.7978    
     57000   2887.1567     -2884.7594      0             -2562.6927     -9958.132     
     60000   3187.6215     -2878.9122      0             -2523.3282     -765.98176    
     63000   2997.7015     -2873.8752      0             -2539.4771     -4373.8504    
     66000   3015.4505     -2872.7699      0             -2536.3918     -1103.1319    
     69000   2916.7196     -2884.367       0             -2559.0026     -5886.1622    
     72000   2943.3119     -2873.1512      0             -2544.8203     -1782.7336    
     75000   2959.8928     -2890.472       0             -2560.2915     -10514.113    
     78000   2971.0568     -2881.9452      0             -2550.5193     -7352.8776    
     81000   2972.7555     -2881.1488      0             -2549.5335     -5469.6095    
     84000   3067.1637     -2880.76        0             -2538.6133     -2790.2797    
     87000   3024.0831     -2874.0105      0             -2536.6695     -2027.518     
     90000   2900.618      -2890.9062      0             -2567.3379     -11261.646    
     93000   3051.2466     -2887.9403      0             -2547.5692     -6649.1773    
     96000   3085.6723     -2879.8316      0             -2535.6202     -3561.3473    
     99000   3088.6003     -2881.4542      0             -2536.9161     -1015.5434    
    102000   2926.7748     -2878.0984      0             -2551.6122     -5693.0552    
    105000   3132.4004     -2893.5776      0             -2544.1537     -10014.498    
    108000   3085.3702     -2868.8431      0             -2524.6654      2063.3469    
    111000   3133.2695     -2879.3614      0             -2529.8404     -4899.3466    
    114000   3076.8669     -2888.1075      0             -2544.8784     -7451.8339    
    117000   3189.15       -2879.4922      0             -2523.7377     -4717.1162    
    120000   2927.8856     -2891.9838      0             -2565.3738     -10525.335    
    123000   3094.5919     -2884.8614      0             -2539.655      -7486.0486    
    126000   2893.8251     -2887.0983      0             -2564.2877     -8262.5759    
    129000   3030.3454     -2881.8133      0             -2543.7737     -5831.9212    
    132000   2916.8582     -2874.8352      0             -2549.4553     -2074.249     
    135000   2977.3587     -2883.8308      0             -2551.7019     -6151.3527    
    138000   3055.499      -2872.1589      0             -2531.3134     -2169.4035    
    141000   2959.2335     -2883.9218      0             -2553.8148     -7633.2529    
    144000   2978.2069     -2874.0698      0             -2541.8464     -1454.9588    
    147000   3078.4298     -2875.848       0             -2532.4445     -4321.052     
    150000   3155.1583     -2875.4207      0             -2523.458      -1752.1518    
    153000   3053.8538     -2874.9549      0             -2534.293      -2831.1354    
    156000   2839.5834     -2881.1228      0             -2564.363      -5517.7822    
    159000   3060.1681     -2875.4035      0             -2534.0372     -2900.7693    
    162000   2966.0353     -2863.6063      0             -2532.7406      1753.6077    
    165000   3099.3716     -2885.3583      0             -2539.6187     -5334.7044    
    168000   2903.2451     -2898.8504      0             -2574.989      -14138.682    
    171000   3028.8029     -2875.2233      0             -2537.3558     -990.26179    
    174000   3021.1985     -2885.9803      0             -2548.961      -6214.1297    
    177000   2918.6829     -2883.1837      0             -2557.6003     -6525.3776    
    180000   2949.1498     -2874.9604      0             -2545.9783     -4622.2291    
    183000   3110.3937     -2875.0848      0             -2528.1157     -1208.7326    
    186000   3091.581      -2878.4048      0             -2533.5342     -2700.675     
    189000   2901.9082     -2878.4642      0             -2554.752      -3600.6332    
    192000   3110.7278     -2885.9102      0             -2538.9038     -5033.8243    
    195000   3172.7935     -2881.5525      0             -2527.6226     -5113.1184    
    198000   2959.3836     -2887.7482      0             -2557.6245     -9736.6154    
    201000   3141.2606     -2874.5308      0             -2524.1185     -447.75439    
    204000   3067.0961     -2869.7802      0             -2527.641      -159.49771    
    207000   2930.6548     -2875.6773      0             -2548.7583     -2763.9361    
    210000   2925.1829     -2884.2852      0             -2557.9766     -5641.7853    
    213000   2925.2793     -2875.5165      0             -2549.1972     -5703.2745    
    216000   2919.8922     -2877.7174      0             -2551.999      -4941.651     
    219000   2928.244      -2874.7162      0             -2548.0662     -3222.4409    
    222000   2874.2407     -2876.269       0             -2555.6431     -4543.0721    
    225000   2871.6103     -2883.3996      0             -2563.0672     -5386.0845    
    228000   2933.3666     -2882.7059      0             -2555.4844     -8413.4599    
    231000   3070.559      -2875.1798      0             -2532.6544      1193.6962    
    234000   3015.1297     -2888.5339      0             -2552.1916     -7144.3343    
    237000   3055.556      -2868.6166      0             -2527.7647      1518.6698    
    240000   3029.1963     -2890.3097      0             -2552.3983     -10141.117    
    243000   3060.2847     -2888.5617      0             -2547.1823     -9694.4887    
    246000   2876.7323     -2878.5335      0             -2557.6296     -2747.2881    
    249000   3012.4724     -2878.5237      0             -2542.4779     -5034.5664    
    252000   3065.7781     -2868.6274      0             -2526.6352      1870.1413    
