   Step          Temp          E_pair         E_mol          TotEng         Press          Volume    
         0   0             -2772.555       0             -2772.555       299461.72      8000         
      3000   385.88321     -2857.0585      0             -2817.6039     -766.76744      9547.0436    
      6000   435.22448     -2852.8658      0             -2808.3664      1450.2759      9548.4885    
      9000   546.68827     -2841.6847      0             -2785.7886     -1506.5232      9629.5975    
     12000   610.43467     -2836.1062      0             -2773.6924      4548.6352      9612.7558    
     15000   724.30832     -2824.6034      0             -2750.5466     -420.95872      9707.1949    
     18000   765.50395     -2813.1627      0             -2734.8939     -1286.4454      9761.152     
     21000   854.75558     -2805.1704      0             -2717.7761      3280.9541      9772.0272    
     24000   899.85663     -2794.6213      0             -2702.6157     -3162.8201      9867.0078    
     27000   1030.4511     -2787.4522      0             -2682.094       6808.1162      9839.2011    
     30000   1103.378      -2768.3811      0             -2655.5664     -5558.0835      10023.662    
     33000   1225.0354     -2762.902       0             -2637.6485     -232.80865      10014.861    
     36000   1291.9107     -2748.7505      0             -2616.6594     -4998.3591      10121.49     
     39000   1366.6556     -2744.2966      0             -2604.5632     -880.94418      10121.404    
     42000   1467.0594     -2723.3114      0             -2573.3123      2872.7956      10194.391    
     45000   1506.0527     -2713.6472      0             -2559.6612      1120.6626      10248.925    
     48000   1585.0554     -2657.3436      0             -2495.28        5833.3165      10483.631    
     51000   1682.253      -2615.8284      0             -2443.8268     -6161.1814      10806.008    
     54000   1733.458      -2600.9037      0             -2423.6667      2865.7284      10812.023    
     57000   1809.7072     -2598.9186      0             -2413.8855     -3089.1002      10846.593    
     60000   1917.6829     -2579.391       0             -2383.318       338.30032      10911.525    
     63000   2023.2903     -2558.8773      0             -2352.0065      6179.826       10983.394    
     66000   2012.0819     -2555.4751      0             -2349.7503      5953.9332      10989.889    
     69000   2185.9747     -2534.7021      0             -2311.1976     -6821.1851      11234.123    
     72000   2232.6395     -2537.3869      0             -2309.1112     -4899.2896      11184.168    
     75000   2297.5078     -2525.4714      0             -2290.5632      10625.379      11119.343    
     78000   2339.4148     -2501.6746      0             -2262.4816      6851.3317      11275.128    
     81000   2566.681      -2497.1108      0             -2234.6811      3245.3719      11362.193    
     84000   2560.9518     -2477.6518      0             -2215.8078      2538.2472      11465.754    
     87000   2533.7089     -2476.2083      0             -2217.1498     -5171.7409      11555.036    
     90000   2776.7912     -2471.3384      0             -2187.4261      7102.4213      11470.09     
     93000   2797.1536     -2455.6124      0             -2169.6181     -18907.493      11835.66     
     96000   2867.675      -2465.0664      0             -2171.8617      4807.7748      11545.617    
     99000   2868.6141     -2440.8564      0             -2147.5556      105.71653      11698.967    
    100000   3044.9294     -2431.9966      0             -2120.6685     -11358.219      11898.208    
