   Step          Temp          E_pair         E_mol          TotEng         Press     
         0   3044.9294     -2431.9966      0             -2120.6685     -11358.219    
      3000   2854.9608     -2415.0134      0             -2123.1086     -5716.2352    
      6000   3053.9042     -2447.2031      0             -2134.9574     -18060.546    
      9000   3004.7091     -2421.6325      0             -2114.4167     -7154.4011    
     12000   3004.4043     -2430.7192      0             -2123.5345     -12623.948    
     15000   3031.6015     -2421.4424      0             -2111.4769     -8631.2157    
     18000   2948.1204     -2428.5357      0             -2127.1058     -13155.904    
     21000   3037.9594     -2429.6664      0             -2119.0509     -9141.8003    
     24000   3014.4684     -2414.7352      0             -2106.5215     -3452.1688    
     27000   3215.3823     -2423.3371      0             -2094.5811     -9191.0636    
     30000   2945.3622     -2415.0792      0             -2113.9313     -4227.4946    
     33000   3047.7049     -2425.8581      0             -2114.2462     -9873.6599    
     36000   3077.0578     -2414.5778      0             -2099.9647     -1711.1049    
     39000   2868.4857     -2416.4034      0             -2123.1157     -3913.1407    
     42000   3014.6834     -2429.3512      0             -2121.1155     -13038.727    
     45000   3023.19       -2415.5321      0             -2106.4267     -2330.3209    
     48000   3038.5258     -2419.7103      0             -2109.0369     -5398.0183    
     51000   2971.799      -2423.4743      0             -2119.6234     -10225.381    
     54000   2885.5428     -2428.6968      0             -2133.6652     -10625.556    
     57000   3137.3927     -2424.4706      0             -2103.6886     -7293.4438    
     60000   3002.8133     -2418.9726      0             -2111.9506     -4081.3628    
     63000   2898.5823     -2430.1516      0             -2133.7867     -13335.647    
     66000   2978.4679     -2422.6104      0             -2118.0777     -8595.5231    
     69000   3005.7247     -2413.0291      0             -2105.7095     -4270.9801    
     72000   2894.5831     -2428.573       0             -2132.617      -14918.051    
     75000   3204.2139     -2432.7267      0             -2105.1125     -11753.18     
     78000   3093.7724     -2415.1107      0             -2098.7886     -1858.1916    
     81000   3038.2161     -2414.8298      0             -2104.1881     -2555.045     
     84000   3141.4984     -2420.1965      0             -2098.9947     -5437.0894    
     87000   2988.3712     -2425.0348      0             -2119.4895     -8264.148     
     90000   2986.2187     -2419.2419      0             -2113.9167     -4528.191     
     93000   2937.7986     -2430.0931      0             -2129.7185     -12835.218    
     96000   2873.6303     -2409.4786      0             -2115.6649     -2786.3236    
     99000   2790.7547     -2421.743       0             -2136.4029     -10105.526    
    100000   2913.3437     -2416.5716      0             -2118.6974     -4079.8533    
