   Step          Temp          Press          Volume         PotEng         KinEng         TotEng        Enthalpy   
         0   0              1105433        8000           2996.1822      0              2996.1822      8515.8388    
      1000   33404.314      1689338.6      8000          -504.81733      3415.4166      2910.5992      11345.818    
      2000   33042.266      1674828.7      8000          -477.378        3378.399       2901.021       11263.789    
      3000   33033.377      1680853.9      8000          -494.0486       3377.4902      2883.4416      11276.294    
      4000   33106.852      1679340.5      8000          -524.92854      3385.0026      2860.0741      11245.37     
      5000   32750.493      1674034.5      8000          -517.11913      3348.5668      2831.4477      11190.25     
      6000   32781.948      1648486.5      8000          -552.06239      3351.7829      2799.7205      11030.956    
      7000   32312.487      1660373.8      8000          -537.58531      3303.7829      2766.1976      11056.789    
      8000   32019.011      1656589.7      8000          -540.75964      3273.7765      2733.0169      11004.713    
      9000   31689.723      1638326.2      8000          -538.37824      3240.1085      2701.7303      10882.233    
     10000   31825.458      1635101.2      8000          -581.73384      3253.9868      2672.253       10836.653    
     11000   30873.505      1630055.2      8000          -511.67421      3156.6546      2644.9804      10784.185    
     12000   30603.653      1649854.6      8000          -511.31169      3129.0636      2617.7519      10855.819    
     13000   31353.801      1623021.2      8000          -615.84018      3205.7623      2589.9221      10694.004    
     14000   30731.813      1619198.3      8000          -579.99699      3142.1673      2562.1703      10647.164    
     15000   30373.987      1617047.3      8000          -572.75848      3105.5814      2532.8229      10607.076    
     16000   30234.236      1613684.1      8000          -589.01025      3091.2926      2502.2823      10559.742    
     17000   30071.243      1611298.2      8000          -603.8582       3074.6274      2470.7692      10516.316    
     18000   30130.907      1594601        8000          -642.78251      3080.7278      2437.9453      10400.119    
     19000   29771.998      1589465.4      8000          -639.83024      3044.0312      2404.201       10340.732    
     20000   30449.547      1566058.6      8000          -742.93444      3113.307       2370.3726      10190.028    
     21000   29358.057      1576354.9      8000          -665.45755      3001.7079      2336.2504      10207.318    
     22000   29041.617      1568794.2      8000          -667.77877      2969.3536      2301.5748      10134.89     
     23000   28212.476      1579601.5      8000          -617.39742      2884.5783      2267.1808      10154.459    
     24000   28138.642      1562750.8      8000          -643.89428      2877.0291      2233.1348      10036.274    
     25000   29204.685      1529936.9      8000          -787.80305      2986.0265      2198.2234      9837.5161    
     26000   28073.081      1534268.7      8000          -706.32925      2870.3258      2163.9965      9824.9187    
     27000   27986.412      1539315.2      8000          -732.21544      2861.4644      2129.2489      9815.3696    
     28000   28319.252      1519543        8000          -800.06874      2895.4955      2095.4268      9682.8204    
     29000   26967.735      1539485.9      8000          -696.27532      2757.3099      2061.0346      9748.0073    
     30000   27552.243      1503558.8      8000          -790.25196      2817.0729      2026.8209      9534.4023    
     31000   27459.655      1497473.1      8000          -815.03252      2807.6062      1992.5737      9469.7676    
     32000   26775.941      1507593.4      8000          -779.3973       2737.7         1958.3027      9486.0299    
     33000   25853.709      1516077.9      8000          -718.62889      2643.4067      1924.7778      9494.8698    
     34000   25935.658      1502799.3      8000          -760.84967      2651.7856      1890.9359      9394.7247    
     35000   25722.674      1489677.5      8000          -772.53519      2630.009       1857.4738      9295.743     
     36000   26043.474      1480423.1      8000          -838.39905      2662.8091      1824.41        9216.4698    
     37000   25657.211      1474831.1      8000          -832.11029      2623.3158      1791.2055      9155.3435    
     38000   25826.809      1449699.8      8000          -882.4377       2640.6563      1758.2186      8996.8707    
     39000   25006.185      1458900.3      8000          -831.42244      2556.7517      1725.3293      9009.9216    
     40000   25148.279      1446092        8000          -878.62172      2571.2801      1692.6584      8913.2961    
     41000   25028.378      1432633.2      8000          -898.81863      2559.0208      1660.2022      8813.6373    
     42000   24599.951      1443119.3      8000          -887.53897      2515.2165      1627.6775      8833.4719    
     43000   23154.817      1460903.2      8000          -771.84796      2367.459       1595.611       8890.2041    
     44000   24359.827      1418045.6      8000          -926.65761      2490.665       1564.0074      8644.6037    
     45000   24107.577      1415720.6      8000          -932.64789      2464.8738      1532.2259      8601.2127    
     46000   23463.561      1421270.4      8000          -897.86093      2399.0265      1501.1656      8597.8641    
